[ 0.0148354  0.9851646]
[ 0.08289429  0.91710571]
[ 0.00541061  0.99458939]
[ 0.03959627  0.96040373]
[ 0.23084846  0.76915154]
[ 0.00477612  0.99522388]
[ 0.22212642  0.77787358]
[ 0.0395347  0.9604653]
[ 0.06647692  0.93352308]
[ 0.06901701  0.93098299]
[ 0.34111241  0.65888759]
[ 0.21214514  0.78785486]
[ 0.70685453  0.29314547]
[ 0.31159549  0.68840451]
[ 0.48950875  0.51049125]
[ 0.30488518  0.69511482]
[ 0.38399127  0.61600873]
[ 0.14602542  0.85397458]
[ 0.13142783  0.86857217]
[ 0.10955735  0.89044265]
[ 0.15552639  0.84447361]
[ 0.22658112  0.77341888]
[ 0.44142927  0.55857073]
[ 0.24026331  0.75973669]
[ 0.25714469  0.74285531]
[ 0.23333255  0.76666745]
[ 0.07637298  0.92362702]
[ 0.11034784  0.88965216]
[ 0.05690015  0.94309985]
[ 0.21055468  0.78944532]
[ 0.33469609  0.66530391]
[ 0.31234743  0.68765257]
[ 0.29627034  0.70372966]
[ 0.24175987  0.75824013]
[ 0.0995619  0.9004381]
[ 0.26924974  0.73075026]
[ 0.25009868  0.74990132]
[ 0.10349104  0.89650896]
[ 0.67513482  0.32486518]
[ 0.0705005  0.9294995]
[ 0.24407464  0.75592536]
[ 0.30460098  0.69539902]
[ 0.11465459  0.88534541]
[ 0.77515374  0.22484626]
[ 0.70685453  0.29314547]
[ 0.14502417  0.85497583]
[ 0.16324345  0.83675655]
[ 0.29482449  0.70517551]
[ 0.41466533  0.58533467]
[ 0.46216361  0.53783639]
[ 0.07336463  0.92663537]
[ 0.21844595  0.78155405]
[ 0.25601786  0.74398214]
[ 0.10021485  0.89978515]
[ 0.47466473  0.52533527]
[ 0.08466101  0.91533899]
[ 0.0984213  0.9015787]
[ 0.31234743  0.68765257]
[ 0.31234743  0.68765257]
[ 0.26383957  0.73616043]
[ 0.12443338  0.87556662]
[ 0.25767747  0.74232253]
[ 0.80449046  0.19550954]
[ 0.31632409  0.68367591]
[ 0.31234743  0.68765257]
[ 0.39738967  0.60261033]
[ 0.45206748  0.54793252]
[ 0.45206748  0.54793252]
[ 0.2514588  0.7485412]
[ 0.22801438  0.77198562]
[ 0.11921462  0.88078538]
[ 0.09458214  0.90541786]
[ 0.03521312  0.96478688]
[ 0.49761044  0.50238956]
[ 0.20679145  0.79320855]
[ 0.10067486  0.89932514]
[ 0.0222339  0.9777661]
[ 0.00907866  0.99092134]
[ 0.36092262  0.63907738]
[ 0.00249141  0.99750859]
[ 0.0820947  0.9179053]
[ 0.45468229  0.54531771]
[ 0.58486441  0.41513559]
[ 0.19307344  0.80692656]
[ 0.31234743  0.68765257]
[ 0.22718208  0.77281792]
[ 0.19565615  0.80434385]
[ 0.21214514  0.78785486]
[ 0.0874237  0.9125763]
[ 0.2447212  0.7552788]
[ 0.05288456  0.94711544]
[ 0.00249141  0.99750859]
[ 0.06350248  0.93649752]
[ 0.0517499  0.9482501]
[ 0.26329349  0.73670651]
[ 0.37432587  0.62567413]
[ 0.098093  0.901907]
[ 0.5019046  0.4980954]
[ 0.09886193  0.90113807]
[ 0.64232776  0.35767224]
[ 0.05281957  0.94718043]
[ 0.99704228  0.00295772]
[ 0.15072318  0.84927682]
[ 0.00643889  0.99356111]
[ 0.21637977  0.78362023]
[ 0.07559627  0.92440373]
[ 0.2648281  0.7351719]
[ 0.70685453  0.29314547]
[ 0.17041824  0.82958176]
[ 0.77783974  0.22216026]
[ 0.12242732  0.87757268]
[ 0.16558052  0.83441948]
[ 0.70685453  0.29314547]
[ 0.40573492  0.59426508]
[ 0.22685046  0.77314954]
[ 0.64232776  0.35767224]
[ 0.19012511  0.80987489]
[ 0.70685453  0.29314547]
[ 0.62995731  0.37004269]
[ 0.13330782  0.86669218]
[ 0.62094706  0.37905294]
[ 0.07321988  0.92678012]
[ 0.18222034  0.81777966]
[ 0.59250974  0.40749026]
[ 0.3179304  0.6820696]
[ 0.02856972  0.97143028]
[ 0.22801438  0.77198562]
[ 0.40623441  0.59376559]
[ 0.03197634  0.96802366]
[ 0.0783664  0.9216336]
[ 0.29458973  0.70541027]
[ 0.04066271  0.95933729]
[ 0.23605089  0.76394911]
[ 0.29458973  0.70541027]
[ 0.31234743  0.68765257]
[ 0.05257822  0.94742178]
[ 0.09556504  0.90443496]
[ 0.64117256  0.35882744]
[ 0.19180253  0.80819747]
[ 0.22639719  0.77360281]
[ 0.13852713  0.86147287]
[ 0.53786219  0.46213781]
[ 0.99704228  0.00295772]
[ 0.2677677  0.7322323]
[ 0.22368607  0.77631393]
[ 0.47084507  0.52915493]
[ 0.31234743  0.68765257]
[ 0.25742034  0.74257966]
[ 0.09195382  0.90804618]
[ 0.23280892  0.76719108]
[ 0.47294503  0.52705497]
[ 0.03638944  0.96361056]
[ 0.76176708  0.23823292]
[ 0.21214514  0.78785486]
[ 0.61124452  0.38875548]
[ 0.79174867  0.20825133]
[ 0.34771008  0.65228992]
[ 0.38705574  0.61294426]
[ 0.60223489  0.39776511]
[ 0.001307  0.998693]
[ 0.06619  0.93381]
[ 0.11696264  0.88303736]
[ 0.13685414  0.86314586]
[ 0.1457564  0.8542436]
[ 0.63725345  0.36274655]
[ 0.00643889  0.99356111]
[ 0.06649033  0.93350967]
[ 0.04037456  0.95962544]
[ 0.25683465  0.74316535]
[ 0.01431371  0.98568629]
[ 0.06443557  0.93556443]
[ 0.09868094  0.90131906]
[ 0.40343524  0.59656476]
[ 0.70685453  0.29314547]
[ 0.6572105  0.3427895]
[ 0.36382347  0.63617653]
[ 0.07809647  0.92190353]
[ 0.13104047  0.86895953]
[ 0.05996482  0.94003518]
[ 0.82982941  0.17017059]
[ 0.18623558  0.81376442]
[ 0.18623558  0.81376442]
[ 0.06678652  0.93321348]
[ 0.31234743  0.68765257]
[ 0.24723032  0.75276968]
[ 0.25098088  0.74901912]
[ 0.52749811  0.47250189]
[ 0.31234743  0.68765257]
[ 0.32355786  0.67644214]
[ 0.11235397  0.88764603]
[ 0.37054855  0.62945145]
[ 0.5154528  0.4845472]
[ 0.07905022  0.92094978]
[ 0.14855294  0.85144706]
[ 0.16534609  0.83465391]
[ 0.25105124  0.74894876]
[ 0.08986542  0.91013458]
[ 0.50828061  0.49171939]
[ 0.14440366  0.85559634]
[ 0.03124797  0.96875203]
[ 0.34552986  0.65447014]
[ 0.22801438  0.77198562]
[ 0.11189719  0.88810281]
[ 0.29028562  0.70971438]
[ 0.29418292  0.70581708]
[ 0.25686501  0.74313499]
[ 0.240587  0.759413]
[ 0.27115865  0.72884135]
[ 0.05510747  0.94489253]
[ 0.00489131  0.99510869]
[ 0.15437827  0.84562173]
[ 0.00614467  0.99385533]
[ 0.11233806  0.88766194]
[ 0.71014708  0.28985292]
[ 0.70685453  0.29314547]
[ 0.22746662  0.77253338]
[ 0.25626128  0.74373872]
[ 0.23276465  0.76723535]
[ 0.5965959  0.4034041]
[ 0.06690336  0.93309664]
[ 0.11497555  0.88502445]
[ 0.60741247  0.39258753]
[ 0.32762761  0.67237239]
[ 0.25033627  0.74966373]
[ 0.12215219  0.87784781]
[ 0.03594948  0.96405052]
[ 0.30678927  0.69321073]
[ 0.001307  0.998693]
